epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0621,1.99736,4.35711,1.43697,0.01485,0.52558,0.00879,0.00376,1.16825,3.83542,1.04128,5.716e-05,5.716e-05,5.716e-05
2,26.2341,1.58524,4.06324,1.20686,0.02437,0.81395,0.11224,0.04729,0.9673,3.5627,0.92543,0.000127337,0.000127337,0.000127337
3,28.0564,1.427,3.15761,0.98052,0.02503,0.97209,0.77427,0.36282,0.98216,3.47545,0.87772,0.000196099,0.000196099,0.000196099
4,29.8765,0.96735,2.09346,0.97622,0.02211,0.93023,0.61319,0.24508,0.72677,3.40267,0.85758,0.000263446,0.000263446,0.000263446
5,31.7237,1.00445,1.72676,0.93817,0.02304,0.98605,0.7319,0.42018,0.71304,3.16731,0.85047,0.000329379,0.000329379,0.000329379
6,33.4364,0.79452,1.26678,0.86798,0.02333,1,0.86861,0.69646,0.646,3.02893,0.84697,0.000393897,0.000393897,0.000393897
7,35.1608,0.79317,1.13709,0.88242,0.02413,0.9907,0.95343,0.79774,0.56572,2.83851,0.82975,0.000457,0.000457,0.000457
8,36.8675,0.79998,1.05727,0.87609,0.02523,0.99535,0.90319,0.73776,0.64538,2.88628,0.84864,0.000518688,0.000518688,0.000518688
9,38.6364,0.66512,0.98647,0.84878,0.02529,1,0.81905,0.667,0.60894,3.03426,0.83583,0.000578962,0.000578962,0.000578962
10,40.3742,0.6514,0.98033,0.83876,0.02376,0.99535,0.83021,0.64572,0.62637,3.06595,0.8296,0.000637821,0.000637821,0.000637821
11,42.0538,0.58294,0.8752,0.82873,0.02299,0.99535,0.93089,0.7135,0.66511,2.957,0.83054,0.000695266,0.000695266,0.000695266
12,43.7546,0.57242,0.93944,0.84244,0.02308,1,0.88589,0.68573,0.54474,2.95219,0.83422,0.000751295,0.000751295,0.000751295
13,45.3948,0.57515,0.93074,0.83638,0.02417,1,0.88091,0.67337,0.55789,2.92665,0.83416,0.00080591,0.00080591,0.00080591
14,47.0631,0.5914,0.82958,0.82217,0.02664,1,0.92886,0.74903,0.52585,2.71755,0.83045,0.000859111,0.000859111,0.000859111
15,48.7469,0.51945,0.85766,0.80724,0.02834,0.99535,0.96432,0.78559,0.53742,2.69348,0.82267,0.000910896,0.000910896,0.000910896
16,50.4142,0.55473,0.86556,0.83448,0.02892,1,0.9683,0.80861,0.449,2.68316,0.82079,0.000961267,0.000961267,0.000961267
17,52.1063,0.53453,0.88686,0.82045,0.02911,1,0.98113,0.81696,0.52051,2.53682,0.8355,0.00101022,0.00101022,0.00101022
18,53.8049,0.5257,0.81188,0.84036,0.98844,0.7953,0.98582,0.86967,0.39602,2.32687,0.81786,0.00105776,0.00105776,0.00105776
19,55.4222,0.56445,0.79111,0.83288,1,0.34325,0.98228,0.85184,0.49351,2.17632,0.82984,0.00110389,0.00110389,0.00110389
20,57.1495,0.55011,0.77159,0.83245,0.98246,0.78147,0.98006,0.84767,0.46557,2.36672,0.82637,0.0011486,0.0011486,0.0011486
21,58.7412,0.50497,0.79245,0.83995,1,0.3799,0.98445,0.87793,0.39257,2.06541,0.81961,0.00114606,0.00114606,0.00114606
22,60.2663,0.50049,0.79508,0.84723,0.95827,0.94419,0.98605,0.90164,0.35566,1.58108,0.81432,0.00113191,0.00113191,0.00113191
23,61.8414,0.5108,0.7125,0.81083,0.95178,0.97674,0.98701,0.892,0.39004,1.28521,0.81392,0.00111776,0.00111776,0.00111776
24,63.3637,0.43189,0.68325,0.81528,0.97207,0.97116,0.98926,0.91487,0.41875,1.1785,0.82217,0.00110362,0.00110362,0.00110362
25,64.8803,0.52725,0.72134,0.83415,0.97219,0.97572,0.99135,0.90308,0.44195,1.07783,0.82935,0.00108947,0.00108947,0.00108947
26,66.3813,0.45545,0.64812,0.79301,0.98603,0.98469,0.99312,0.93979,0.40563,0.92582,0.82092,0.00107532,0.00107532,0.00107532
27,67.9699,0.42271,0.64848,0.80274,0.9673,0.96295,0.99203,0.93607,0.37108,0.82774,0.81358,0.00106118,0.00106118,0.00106118
28,69.5023,0.48637,0.62774,0.78563,0.97041,0.9907,0.99343,0.93774,0.34634,0.65587,0.80985,0.00104703,0.00104703,0.00104703
29,70.9691,0.43359,0.59799,0.81179,0.97605,0.9814,0.99317,0.92365,0.38995,0.61481,0.81994,0.00103288,0.00103288,0.00103288
30,72.4822,0.46625,0.61416,0.80524,0.98027,0.97674,0.99052,0.92734,0.347,0.59527,0.81384,0.00101873,0.00101873,0.00101873
31,73.9167,0.42904,0.62363,0.82437,0.98129,0.97601,0.98943,0.9289,0.34517,0.6099,0.81026,0.00100459,0.00100459,0.00100459
32,75.3863,0.42508,0.60563,0.79781,0.97701,0.9883,0.99387,0.91663,0.33288,0.58548,0.8083,0.00099044,0.00099044,0.00099044
33,76.7987,0.43733,0.62045,0.80022,0.97271,0.99483,0.99329,0.93381,0.33637,0.53849,0.80515,0.000976293,0.000976293,0.000976293
34,78.213,0.43098,0.58194,0.8108,0.95499,0.99535,0.99272,0.92226,0.36071,0.49159,0.80413,0.000962146,0.000962146,0.000962146
35,79.6666,0.39106,0.67738,0.79292,0.97054,0.97674,0.99218,0.94755,0.31846,0.45603,0.80327,0.000947999,0.000947999,0.000947999
36,81.2459,0.44211,0.54912,0.7899,0.9905,0.97018,0.99143,0.94867,0.30781,0.45715,0.80039,0.000933851,0.000933851,0.000933851
37,82.7086,0.43066,0.59249,0.78831,0.98365,0.9814,0.99232,0.9322,0.32325,0.45966,0.80397,0.000919704,0.000919704,0.000919704
38,84.2351,0.40264,0.55404,0.78836,0.98447,0.98605,0.99421,0.93891,0.30882,0.46771,0.80314,0.000905557,0.000905557,0.000905557
39,85.741,0.39619,0.54905,0.80396,0.98506,0.9907,0.99458,0.94986,0.29495,0.4302,0.80513,0.00089141,0.00089141,0.00089141
40,87.255,0.42914,0.54979,0.80862,0.98991,0.98605,0.99458,0.95274,0.30624,0.42577,0.80595,0.000877263,0.000877263,0.000877263
41,88.7346,0.44436,0.56374,0.81149,0.99118,0.98605,0.99458,0.95365,0.29723,0.41726,0.80534,0.000863116,0.000863116,0.000863116
42,90.2336,0.36441,0.54276,0.78705,0.99068,0.98923,0.99472,0.96357,0.28498,0.4201,0.80628,0.000848969,0.000848969,0.000848969
43,91.778,0.40553,0.52278,0.79534,0.99069,0.98997,0.99486,0.95859,0.28758,0.40373,0.80857,0.000834822,0.000834822,0.000834822
44,93.3868,0.38413,0.53245,0.81537,0.99075,0.99663,0.99495,0.95888,0.29199,0.38976,0.799,0.000820675,0.000820675,0.000820675
45,94.9217,0.39151,0.54887,0.80267,1,0.99913,0.995,0.95793,0.26751,0.40658,0.79722,0.000806528,0.000806528,0.000806528
46,96.4342,0.35659,0.50893,0.81527,0.99893,0.99535,0.995,0.97827,0.24374,0.39231,0.79653,0.00079238,0.00079238,0.00079238
47,97.9832,0.35607,0.49254,0.78413,1,0.99421,0.995,0.96565,0.27445,0.37395,0.79908,0.000778233,0.000778233,0.000778233
48,99.517,0.36639,0.5366,0.7965,1,0.98401,0.99491,0.9473,0.30397,0.37705,0.80341,0.000764086,0.000764086,0.000764086
49,101.005,0.33673,0.47629,0.78741,0.99787,0.9814,0.99491,0.98128,0.22179,0.33634,0.79441,0.000749939,0.000749939,0.000749939
50,102.534,0.31765,0.49269,0.80853,1,0.98584,0.99495,0.95932,0.24471,0.35519,0.7943,0.000735792,0.000735792,0.000735792
51,104.032,0.34907,0.53249,0.80524,1,0.98969,0.995,0.95269,0.27839,0.3735,0.79822,0.000721645,0.000721645,0.000721645
52,105.623,0.33363,0.48974,0.80745,1,0.98596,0.99495,0.96882,0.24529,0.34402,0.79743,0.000707498,0.000707498,0.000707498
53,107.055,0.3226,0.49079,0.79088,1,0.9899,0.995,0.98025,0.20859,0.32611,0.79393,0.000693351,0.000693351,0.000693351
54,108.49,0.37099,0.4775,0.81111,0.99078,0.99999,0.995,0.97479,0.22798,0.32912,0.79384,0.000679204,0.000679204,0.000679204
55,109.914,0.32535,0.48226,0.7996,0.99441,1,0.995,0.97671,0.22705,0.33255,0.7951,0.000665057,0.000665057,0.000665057
56,111.384,0.33962,0.49124,0.81608,0.99884,1,0.995,0.97163,0.2366,0.32814,0.79658,0.000650909,0.000650909,0.000650909
57,112.806,0.32264,0.46622,0.78667,0.99911,1,0.995,0.97289,0.22409,0.33357,0.79408,0.000636762,0.000636762,0.000636762
58,114.239,0.35128,0.49916,0.83256,0.99404,1,0.99407,0.97819,0.20191,0.32918,0.79137,0.000622615,0.000622615,0.000622615
59,115.666,0.324,0.47684,0.79975,0.99444,1,0.99417,0.97511,0.21648,0.31682,0.79181,0.000608468,0.000608468,0.000608468
60,117.132,0.34217,0.44595,0.80214,0.98963,1,0.99463,0.97001,0.24717,0.31596,0.7944,0.000594321,0.000594321,0.000594321
61,118.725,0.31201,0.47529,0.79541,0.99078,0.99997,0.99477,0.98188,0.22885,0.30053,0.79415,0.000580174,0.000580174,0.000580174
62,120.215,0.33171,0.44237,0.78662,1,0.99487,0.995,0.97953,0.22559,0.30116,0.79197,0.000566027,0.000566027,0.000566027
63,121.696,0.33302,0.50339,0.82776,0.99463,1,0.995,0.97126,0.24562,0.30818,0.79332,0.00055188,0.00055188,0.00055188
64,123.21,0.33129,0.45327,0.7878,0.99464,1,0.995,0.97372,0.23995,0.28731,0.7993,0.000537733,0.000537733,0.000537733
65,124.692,0.34841,0.4488,0.77664,1,0.99913,0.995,0.98125,0.24108,0.2998,0.7962,0.000523586,0.000523586,0.000523586
66,126.174,0.33995,0.447,0.76869,0.99644,0.99535,0.995,0.98301,0.21971,0.29299,0.79501,0.000509438,0.000509438,0.000509438
67,127.639,0.32625,0.44491,0.80109,0.99537,0.99916,0.995,0.98393,0.2098,0.28657,0.79436,0.000495291,0.000495291,0.000495291
68,129.158,0.29114,0.41815,0.8033,1,0.99812,0.995,0.98785,0.18911,0.2738,0.79324,0.000481144,0.000481144,0.000481144
69,130.59,0.31885,0.42856,0.7743,0.9992,1,0.995,0.98618,0.20409,0.29594,0.79416,0.000466997,0.000466997,0.000466997
70,132.001,0.33832,0.42947,0.79787,0.99931,1,0.995,0.98035,0.22561,0.31926,0.79435,0.00045285,0.00045285,0.00045285
71,133.478,0.31275,0.43005,0.80714,0.99942,1,0.995,0.98219,0.21779,0.3026,0.79401,0.000438703,0.000438703,0.000438703
72,135.164,0.29048,0.41802,0.78158,0.99469,1,0.995,0.98806,0.17094,0.27536,0.7907,0.000424556,0.000424556,0.000424556
73,136.627,0.29751,0.42343,0.79607,0.99942,1,0.995,0.98684,0.17203,0.26432,0.7907,0.000410409,0.000410409,0.000410409
74,138.272,0.29741,0.4146,0.79157,0.99934,1,0.995,0.9875,0.17844,0.26797,0.79051,0.000396262,0.000396262,0.000396262
75,139.851,0.32589,0.41478,0.79613,0.99939,1,0.995,0.98767,0.1814,0.26729,0.78962,0.000382115,0.000382115,0.000382115
76,141.368,0.27289,0.4017,0.77595,0.99958,1,0.995,0.98458,0.18902,0.2673,0.79231,0.000367967,0.000367967,0.000367967
77,142.798,0.27949,0.39252,0.79837,0.99961,1,0.995,0.98346,0.19746,0.26541,0.79113,0.00035382,0.00035382,0.00035382
78,144.26,0.26231,0.41805,0.79691,0.99951,1,0.995,0.98675,0.18136,0.24832,0.78984,0.000339673,0.000339673,0.000339673
79,145.709,0.25946,0.39477,0.77333,0.99031,1,0.99491,0.98519,0.1806,0.24745,0.78949,0.000325526,0.000325526,0.000325526
80,147.344,0.26141,0.39012,0.77981,0.99959,1,0.995,0.98506,0.1884,0.25242,0.79012,0.000311379,0.000311379,0.000311379
81,148.969,0.26549,0.37287,0.78957,0.99957,1,0.995,0.98476,0.19025,0.24852,0.7897,0.000297232,0.000297232,0.000297232
82,150.444,0.26808,0.38504,0.7868,0.99961,1,0.995,0.98329,0.17477,0.23941,0.78866,0.000283085,0.000283085,0.000283085
83,151.944,0.27491,0.38058,0.7647,0.995,1,0.995,0.9886,0.15275,0.22984,0.78818,0.000268938,0.000268938,0.000268938
84,153.633,0.28351,0.3885,0.78759,0.99497,1,0.995,0.98856,0.17549,0.24832,0.78864,0.000254791,0.000254791,0.000254791
85,155.133,0.2833,0.38487,0.76972,0.99958,1,0.995,0.98915,0.17668,0.24673,0.78903,0.000240644,0.000240644,0.000240644
86,156.656,0.3166,0.40726,0.77742,0.99953,1,0.995,0.99103,0.17576,0.24374,0.78983,0.000226497,0.000226497,0.000226497
87,158.146,0.2492,0.35692,0.79571,0.99949,1,0.995,0.99167,0.17521,0.2433,0.78894,0.000212349,0.000212349,0.000212349
88,159.622,0.28084,0.37949,0.77082,0.99947,1,0.995,0.99109,0.16403,0.23908,0.78715,0.000198202,0.000198202,0.000198202
89,161.045,0.29404,0.38193,0.79913,0.99946,1,0.995,0.98949,0.16517,0.2392,0.78695,0.000184055,0.000184055,0.000184055
90,162.505,0.25696,0.37,0.79159,0.99948,1,0.995,0.98861,0.16083,0.23971,0.78743,0.000169908,0.000169908,0.000169908
91,173.077,0.23948,0.50148,0.78455,0.99953,1,0.995,0.99022,0.15619,0.23803,0.78723,0.000155761,0.000155761,0.000155761
92,174.553,0.24802,0.50463,0.78369,0.9996,1,0.995,0.98989,0.16988,0.24815,0.78747,0.000141614,0.000141614,0.000141614
93,175.949,0.24935,0.42912,0.79769,0.99963,1,0.995,0.98819,0.18229,0.25954,0.78755,0.000127467,0.000127467,0.000127467
94,177.414,0.25399,0.45309,0.7814,0.99964,1,0.995,0.98822,0.19609,0.26682,0.78788,0.00011332,0.00011332,0.00011332
95,178.914,0.26239,0.44562,0.75933,0.99965,1,0.995,0.98677,0.20376,0.26949,0.78792,9.91726e-05,9.91726e-05,9.91726e-05
96,180.433,0.22434,0.42969,0.7511,0.99965,1,0.995,0.98858,0.18989,0.25888,0.78783,8.50255e-05,8.50255e-05,8.50255e-05
97,181.916,0.2324,0.43065,0.77063,0.99965,1,0.995,0.9897,0.17718,0.24777,0.78778,7.08784e-05,7.08784e-05,7.08784e-05
98,183.349,0.22789,0.46022,0.76771,0.99964,1,0.995,0.9895,0.17113,0.24189,0.78756,5.67313e-05,5.67313e-05,5.67313e-05
99,184.828,0.20532,0.43668,0.77079,0.99964,1,0.995,0.99016,0.16816,0.23463,0.78762,4.25842e-05,4.25842e-05,4.25842e-05
100,186.279,0.23912,0.41082,0.7644,0.99964,1,0.995,0.99013,0.16394,0.22697,0.7873,2.84371e-05,2.84371e-05,2.84371e-05
