epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8945,2.41518,4.85855,2.00143,0.00352,0.99731,0.15866,0.05946,1.42307,3.33381,1.14657,0.00037154,0.00037154,0.00037154
2,21.963,1.31821,2.70479,1.21213,0.00348,1,0.37338,0.23689,1.11797,2.93363,1.09523,0.000749872,0.000749872,0.000749872
3,27.8061,1.08136,2.1429,1.13789,0.73019,0.12747,0.55648,0.38388,1.09164,2.40707,1.09492,0.00112056,0.00112056,0.00112056
4,33.8726,1.08327,1.93032,1.13477,0.54984,0.89766,0.60136,0.4403,0.95998,1.33463,1.05635,0.00138656,0.00138656,0.00138656
5,39.8114,1.01171,1.71782,1.09353,0.61997,0.73419,0.79424,0.54194,1.05823,1.56736,1.10213,0.00137241,0.00137241,0.00137241
6,45.5059,0.96196,1.64131,1.07993,0.57313,0.82937,0.73563,0.56124,0.89271,1.11854,1.03077,0.00135826,0.00135826,0.00135826
7,51.2896,0.91819,1.51121,1.06503,0.78006,0.83695,0.89739,0.66472,0.87793,1.01096,1.0247,0.00134412,0.00134412,0.00134412
8,57.2816,0.88362,1.32965,1.03191,0.8295,0.90839,0.91156,0.68317,0.86609,0.92106,1.01617,0.00132997,0.00132997,0.00132997
9,62.8783,0.89088,1.29575,1.05338,0.81808,0.90496,0.91322,0.69824,0.81451,0.8406,0.99487,0.00131582,0.00131582,0.00131582
10,68.4455,0.86582,1.20048,1.038,0.85785,0.88477,0.93496,0.74317,0.75682,0.79439,0.96741,0.00130168,0.00130168,0.00130168
11,74.059,0.8714,1.13153,1.03623,0.84384,0.95893,0.93599,0.7258,0.77329,0.78562,0.96668,0.00128753,0.00128753,0.00128753
12,79.655,0.83737,1.0587,1.01076,0.86452,0.91995,0.94197,0.73855,0.75093,0.75654,0.97308,0.00127338,0.00127338,0.00127338
13,85.3584,0.82969,1.06095,1.01547,0.80639,0.8761,0.90245,0.68675,0.83941,0.90793,1.05005,0.00125923,0.00125923,0.00125923
14,90.962,0.81076,0.99912,1.03203,0.89388,0.91516,0.95532,0.74813,0.76928,0.73259,0.98911,0.00124509,0.00124509,0.00124509
15,96.5102,0.78879,0.97205,1.00858,0.86534,0.96209,0.95804,0.76994,0.71503,0.61831,0.94929,0.00123094,0.00123094,0.00123094
16,102.16,0.77175,0.91568,0.99409,0.8609,0.94008,0.94565,0.7379,0.80947,0.73211,0.99002,0.00121679,0.00121679,0.00121679
17,107.693,0.78665,0.9264,0.99563,0.87911,0.90672,0.95306,0.76885,0.67892,0.68102,0.93403,0.00120265,0.00120265,0.00120265
18,113.258,0.7664,0.91413,0.98136,0.85339,0.94903,0.9585,0.76623,0.74985,0.67375,0.95568,0.0011885,0.0011885,0.0011885
19,118.965,0.76118,0.86446,0.98818,0.85485,0.9402,0.93539,0.75466,0.69863,0.65373,0.94359,0.00117435,0.00117435,0.00117435
20,124.613,0.76525,0.88002,0.98658,0.8475,0.96931,0.94993,0.7735,0.6693,0.62526,0.92834,0.00116021,0.00116021,0.00116021
21,130.179,0.75515,0.85778,0.9819,0.89027,0.96067,0.9701,0.7876,0.69416,0.55648,0.93583,0.00114606,0.00114606,0.00114606
22,135.758,0.72766,0.84003,0.97401,0.86656,0.95344,0.96761,0.80313,0.65863,0.58628,0.92552,0.00113191,0.00113191,0.00113191
23,141.29,0.7462,0.80076,0.96982,0.88496,0.93188,0.97059,0.79939,0.65883,0.57276,0.91957,0.00111776,0.00111776,0.00111776
24,146.827,0.71573,0.74835,0.96073,0.88522,0.953,0.96898,0.80732,0.63909,0.53729,0.91672,0.00110362,0.00110362,0.00110362
25,152.354,0.74346,0.77708,0.97815,0.87485,0.95411,0.95256,0.78004,0.654,0.56227,0.92676,0.00108947,0.00108947,0.00108947
26,157.878,0.69882,0.76076,0.9592,0.86058,0.94661,0.95871,0.78337,0.69807,0.58703,0.94256,0.00107532,0.00107532,0.00107532
27,163.534,0.71659,0.73817,0.97035,0.90086,0.97143,0.96509,0.8031,0.63221,0.5361,0.90527,0.00106118,0.00106118,0.00106118
