epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8991,1.47662,3.5924,1.09916,0.00323,0.96985,0.21636,0.08253,1.00935,3.62964,0.99587,0.00024,0.00024,0.00024
2,117.508,0.95764,1.81552,0.95112,0.00318,0.95477,0.04573,0.01369,0.86746,3.59581,0.95853,0.0004901,0.0004901,0.0004901
3,173.52,0.80535,1.44872,0.91692,0.0032,0.9598,0.25753,0.03431,0.69622,3.53299,0.90641,0.000729904,0.000729904,0.000729904
4,230.247,0.85748,1.46659,0.93817,0.00315,0.94472,0.0104,0.00774,0.86661,3.55118,0.93429,0.000959412,0.000959412,0.000959412
5,287.855,0.75753,1.27739,0.90262,0.00327,0.9799,0.86612,0.70613,0.68971,3.05666,0.91321,0.00117862,0.00117862,0.00117862
6,343.2,0.74043,1.18659,0.90302,0.93505,0.36172,0.85322,0.66646,0.80666,2.71922,0.9167,0.00138754,0.00138754,0.00138754
7,398.584,0.78208,1.06876,0.90465,0.98294,0.8686,0.94654,0.82554,0.58753,2.01061,0.86954,0.00158616,0.00158616,0.00158616
8,453.816,0.80019,1.07724,0.91096,0.94425,0.93631,0.95761,0.77115,0.74723,1.32556,0.91606,0.0017228,0.0017228,0.0017228
9,509.337,0.7328,1.01656,0.90269,0.9591,0.94263,0.96147,0.83193,0.58945,1.3046,0.8509,0.0016832,0.0016832,0.0016832
10,565.031,0.68168,0.91479,0.8966,0.95388,0.96482,0.95742,0.86743,0.54083,1.13852,0.84327,0.0016436,0.0016436,0.0016436
11,620.284,0.65819,0.86038,0.89007,0.9787,0.92362,0.95203,0.8156,0.6378,0.99833,0.895,0.001604,0.001604,0.001604
12,675.145,0.63969,0.78577,0.88149,0.97431,0.95299,0.95678,0.83753,0.58379,0.82546,0.86394,0.0015644,0.0015644,0.0015644
13,730.018,0.67299,0.8421,0.92062,0.9598,0.95982,0.96631,0.85577,0.58302,0.77784,0.84273,0.0015248,0.0015248,0.0015248
14,784.334,0.61507,0.80924,0.89852,0.97869,0.94975,0.96562,0.8581,0.5483,0.79419,0.83043,0.0014852,0.0014852,0.0014852
15,838.805,0.56314,0.7034,0.86316,0.97285,0.94975,0.96646,0.88205,0.52335,0.7938,0.82526,0.0014456,0.0014456,0.0014456
16,893.429,0.57634,0.70098,0.85749,0.97335,0.96482,0.97055,0.87175,0.50696,0.69899,0.81341,0.001406,0.001406,0.001406
