epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3405,0,129.231,0,0,0,0,0,0,18.3691,0,0.00037154,0.00037154,0.00037154
2,21.5193,0,107.478,0,0,0,0,0,0,18.3691,0,0.000749872,0.000749872,0.000749872
3,26.425,0,91.8543,0,0,0,0,0,0,18.368,0,0.00112056,0.00112056,0.00112056
4,31.2627,0,79.1119,0,0,0,0,0,0,18.3636,0,0.00138656,0.00138656,0.00138656
5,36.0928,0,70.1416,0,0,0,0,0,0,16.5903,0,0.00137241,0.00137241,0.00137241
