epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,133.846,0.43326,0.48184,0.79683,0.90631,0.89028,0.9416,0.86453,0.31255,0.39403,0.8024,0.000848969,0.000848969,0.000848969
43,136.37,0.44715,0.50011,0.79633,0.92393,0.86417,0.94225,0.86169,0.32844,0.41026,0.80254,0.000834822,0.000834822,0.000834822
44,138.73,0.45326,0.4867,0.79327,0.86266,0.89584,0.93336,0.84725,0.3585,0.41617,0.80542,0.000820675,0.000820675,0.000820675
45,141.06,0.46263,0.49838,0.80123,0.9206,0.85723,0.94179,0.85766,0.34494,0.40075,0.80085,0.000806528,0.000806528,0.000806528
46,143.411,0.43718,0.47063,0.79327,0.9015,0.89383,0.93917,0.86595,0.3213,0.38542,0.80057,0.00079238,0.00079238,0.00079238
47,145.848,0.42175,0.45141,0.79049,0.92858,0.9032,0.94817,0.86666,0.32371,0.37675,0.80093,0.000778233,0.000778233,0.000778233
48,148.308,0.43076,0.45735,0.78972,0.91838,0.90374,0.95685,0.87769,0.31582,0.37292,0.80156,0.000764086,0.000764086,0.000764086
49,150.837,0.41626,0.45856,0.80096,0.91247,0.87737,0.9522,0.87227,0.31804,0.39076,0.80127,0.000749939,0.000749939,0.000749939
50,153.294,0.44766,0.4582,0.79507,0.95431,0.9098,0.95766,0.87896,0.32821,0.38891,0.80152,0.000735792,0.000735792,0.000735792
51,155.712,0.44104,0.45071,0.78732,0.93078,0.89596,0.95009,0.86629,0.34043,0.40179,0.80181,0.000721645,0.000721645,0.000721645
52,158.139,0.44345,0.45939,0.79366,0.93343,0.89788,0.95534,0.88726,0.30194,0.37792,0.80061,0.000707498,0.000707498,0.000707498
53,160.71,0.41043,0.44025,0.79078,0.87381,0.90314,0.93592,0.85079,0.34002,0.3803,0.80039,0.000693351,0.000693351,0.000693351
54,163.044,0.38784,0.42998,0.78887,0.87421,0.89102,0.94175,0.87369,0.29559,0.36958,0.79908,0.000679204,0.000679204,0.000679204
55,165.437,0.40804,0.42358,0.79203,0.91825,0.90335,0.96052,0.88431,0.30234,0.3548,0.79872,0.000665057,0.000665057,0.000665057
56,167.76,0.41782,0.42891,0.78876,0.96565,0.91939,0.96196,0.89004,0.30624,0.3463,0.79948,0.000650909,0.000650909,0.000650909
57,170.11,0.39564,0.41401,0.78491,0.91788,0.88153,0.9368,0.86019,0.34827,0.37241,0.79993,0.000636762,0.000636762,0.000636762
58,172.643,0.39302,0.4372,0.78711,0.9563,0.91637,0.95824,0.89311,0.28886,0.34313,0.79902,0.000622615,0.000622615,0.000622615
59,174.971,0.4048,0.42201,0.78555,0.96384,0.91245,0.96061,0.88328,0.31367,0.35061,0.79939,0.000608468,0.000608468,0.000608468
60,177.425,0.38469,0.44513,0.78315,0.96576,0.91102,0.96129,0.89258,0.29054,0.33733,0.79976,0.000594321,0.000594321,0.000594321
61,179.782,0.38061,0.41217,0.78852,0.96284,0.91271,0.96096,0.8889,0.31143,0.35122,0.80121,0.000580174,0.000580174,0.000580174
62,182.217,0.39054,0.415,0.78493,0.95939,0.9194,0.96207,0.89264,0.30384,0.34803,0.80103,0.000566027,0.000566027,0.000566027
63,184.569,0.3738,0.4072,0.78303,0.96508,0.92546,0.9649,0.89682,0.29816,0.33865,0.80029,0.00055188,0.00055188,0.00055188
64,186.963,0.39888,0.41279,0.78233,0.94544,0.92208,0.96562,0.90042,0.28876,0.34544,0.79913,0.000537733,0.000537733,0.000537733
65,189.292,0.37254,0.40417,0.78535,0.9657,0.91793,0.96299,0.89553,0.29368,0.35014,0.79924,0.000523586,0.000523586,0.000523586
66,191.64,0.38842,0.4096,0.78086,0.9596,0.90765,0.96307,0.89556,0.29075,0.34479,0.79847,0.000509438,0.000509438,0.000509438
67,193.967,0.38802,0.4166,0.78677,0.96635,0.92193,0.96597,0.90187,0.2864,0.33066,0.79818,0.000495291,0.000495291,0.000495291
68,196.342,0.3645,0.39056,0.78593,0.9711,0.93376,0.96966,0.90645,0.29947,0.32787,0.79815,0.000481144,0.000481144,0.000481144
69,198.73,0.3648,0.38377,0.78266,0.96178,0.92969,0.9681,0.89861,0.29799,0.3276,0.7965,0.000466997,0.000466997,0.000466997
70,201.033,0.34371,0.38473,0.78404,0.95907,0.92628,0.96745,0.90074,0.2882,0.32638,0.79887,0.00045285,0.00045285,0.00045285
71,203.371,0.40119,0.4104,0.78202,0.97976,0.92549,0.96991,0.90588,0.28727,0.32483,0.79737,0.000438703,0.000438703,0.000438703
72,205.689,0.36954,0.38983,0.78392,0.96629,0.93134,0.96905,0.90258,0.30865,0.33117,0.79821,0.000424556,0.000424556,0.000424556
73,208.077,0.38458,0.40203,0.79131,0.9678,0.93608,0.96938,0.90751,0.28605,0.31932,0.79746,0.000410409,0.000410409,0.000410409
74,210.442,0.39026,0.39646,0.77914,0.96553,0.93343,0.97085,0.90259,0.2902,0.31611,0.7978,0.000396262,0.000396262,0.000396262
75,212.738,0.35219,0.37932,0.78523,0.96817,0.91557,0.96568,0.89883,0.29178,0.32239,0.79773,0.000382115,0.000382115,0.000382115
76,215.062,0.36857,0.39259,0.78471,0.96826,0.91759,0.96616,0.9046,0.27688,0.32388,0.79701,0.000367967,0.000367967,0.000367967
77,217.406,0.38858,0.3869,0.7827,0.97884,0.91564,0.97027,0.90602,0.28514,0.31841,0.79757,0.00035382,0.00035382,0.00035382
78,219.738,0.37038,0.38397,0.78176,0.96629,0.93439,0.97091,0.91418,0.27157,0.31321,0.79692,0.000339673,0.000339673,0.000339673
79,222.151,0.35698,0.36964,0.79358,0.96453,0.92556,0.97047,0.90721,0.28062,0.31416,0.79778,0.000325526,0.000325526,0.000325526
80,224.516,0.35033,0.37687,0.77887,0.96416,0.92591,0.97045,0.91215,0.27356,0.30884,0.79683,0.000311379,0.000311379,0.000311379
81,226.862,0.35377,0.36113,0.78894,0.97671,0.92357,0.97025,0.91638,0.26749,0.30738,0.79545,0.000297232,0.000297232,0.000297232
82,229.197,0.3733,0.37512,0.79167,0.97296,0.92222,0.97058,0.91021,0.27742,0.30973,0.79659,0.000283085,0.000283085,0.000283085
83,231.505,0.38148,0.38504,0.78681,0.97518,0.92303,0.97137,0.9125,0.27114,0.3053,0.79571,0.000268938,0.000268938,0.000268938
84,233.852,0.35514,0.36894,0.78166,0.97629,0.92992,0.97369,0.91558,0.26393,0.30071,0.79524,0.000254791,0.000254791,0.000254791
85,236.219,0.35071,0.36771,0.78599,0.97346,0.93338,0.97363,0.91625,0.27121,0.3065,0.79538,0.000240644,0.000240644,0.000240644
86,238.6,0.36216,0.37426,0.78749,0.97232,0.93339,0.97192,0.91446,0.26097,0.29906,0.79474,0.000226497,0.000226497,0.000226497
87,240.925,0.35206,0.37514,0.78023,0.97372,0.93348,0.97195,0.91308,0.26954,0.29703,0.79467,0.000212349,0.000212349,0.000212349
88,243.252,0.34681,0.36539,0.78373,0.9746,0.9317,0.97205,0.91501,0.26204,0.29041,0.79435,0.000198202,0.000198202,0.000198202
89,245.676,0.33887,0.36259,0.79051,0.9776,0.9279,0.97255,0.91396,0.26988,0.29559,0.79497,0.000184055,0.000184055,0.000184055
90,248.153,0.36363,0.36399,0.78563,0.98103,0.9265,0.97346,0.91697,0.26554,0.29352,0.79507,0.000169908,0.000169908,0.000169908
91,261.056,0.35717,0.44027,0.77653,0.97491,0.93061,0.97288,0.91765,0.26493,0.30127,0.79445,0.000155761,0.000155761,0.000155761
92,263.532,0.33617,0.39738,0.77909,0.96511,0.93203,0.97091,0.91039,0.27965,0.32831,0.79475,0.000141614,0.000141614,0.000141614
93,265.876,0.33564,0.40264,0.77305,0.97537,0.93005,0.97429,0.91724,0.26989,0.33821,0.79509,0.000127467,0.000127467,0.000127467
94,268.235,0.32026,0.38718,0.77123,0.97351,0.92779,0.97294,0.9162,0.26922,0.32776,0.79579,0.00011332,0.00011332,0.00011332
95,270.616,0.31785,0.373,0.78163,0.95763,0.94104,0.97286,0.91291,0.26969,0.31638,0.79561,9.91726e-05,9.91726e-05,9.91726e-05
96,272.971,0.32465,0.37191,0.77674,0.97043,0.93219,0.97354,0.91405,0.27092,0.30869,0.79528,8.50255e-05,8.50255e-05,8.50255e-05
97,275.401,0.31295,0.36288,0.77349,0.96746,0.941,0.97619,0.91753,0.26386,0.30261,0.79452,7.08784e-05,7.08784e-05,7.08784e-05
98,277.865,0.32296,0.36855,0.78486,0.96641,0.93941,0.97659,0.9176,0.26257,0.30052,0.79387,5.67313e-05,5.67313e-05,5.67313e-05
99,280.322,0.33512,0.37447,0.77327,0.97046,0.94069,0.97645,0.9165,0.26485,0.30053,0.79373,4.25842e-05,4.25842e-05,4.25842e-05
100,282.764,0.32843,0.36296,0.7803,0.96873,0.94079,0.97634,0.9167,0.26494,0.29923,0.79369,2.84371e-05,2.84371e-05,2.84371e-05
